strategy,turns,index,square,type,mean_percentage,stdev_percentage,min_percentage,max_percentage
A,100,0,GO,GO,3.200000,1.475730,1.000000,5.000000
A,100,1,Mediterranean Avenue,Property,2.100000,1.197219,0.000000,4.000000
A,100,2,Community Chest 1,Community Chest,1.300000,1.159502,0.000000,4.000000
A,100,3,Baltic Avenue,Property,1.200000,1.135292,0.000000,3.000000
A,100,4,Income Tax,Tax,2.700000,2.002776,0.000000,6.000000
A,100,5,Reading Railroad,Railroad,2.300000,1.059350,0.000000,4.000000
A,100,6,Oriental Avenue,Property,2.100000,1.523884,0.000000,5.000000
A,100,7,Chance 1,Chance,1.000000,0.816497,0.000000,2.000000
A,100,8,Vermont Avenue,Property,3.400000,1.646545,0.000000,6.000000
A,100,9,Connecticut Avenue,Property,2.500000,1.581139,0.000000,5.000000
A,100,10,Jail / Just Visiting,Jail,6.900000,2.282786,4.000000,10.000000
A,100,11,St. Charles Place,Property,3.200000,1.398412,1.000000,6.000000
A,100,12,Electric Company,Utility,2.700000,1.828782,0.000000,6.000000
A,100,13,States Avenue,Property,2.200000,1.398412,0.000000,4.000000
A,100,14,Virginia Avenue,Property,1.800000,1.686548,0.000000,5.000000
A,100,15,Pennsylvania Railroad,Railroad,4.100000,1.286684,2.000000,6.000000
A,100,16,St. James Place,Property,3.400000,1.429841,0.000000,5.000000
A,100,17,Community Chest 2,Community Chest,2.400000,1.264911,0.000000,4.000000
A,100,18,Tennessee Avenue,Property,4.200000,1.398412,3.000000,7.000000
A,100,19,New York Avenue,Property,2.900000,2.884826,0.000000,10.000000
A,100,20,Free Parking,Free Parking,2.500000,1.509231,0.000000,5.000000
A,100,21,Kentucky Avenue,Property,2.600000,1.955050,0.000000,7.000000
A,100,22,Chance 2,Chance,1.600000,0.843274,0.000000,3.000000
A,100,23,Indiana Avenue,Property,3.000000,1.563472,1.000000,6.000000
A,100,24,Illinois Avenue,Property,2.400000,1.646545,1.000000,5.000000
A,100,25,B. & O. Railroad,Railroad,2.400000,1.429841,1.000000,5.000000
A,100,26,Atlantic Avenue,Property,2.900000,1.100505,1.000000,5.000000
A,100,27,Ventnor Avenue,Property,3.000000,1.154701,1.000000,5.000000
A,100,28,Water Works,Utility,2.000000,1.247219,0.000000,4.000000
A,100,29,Marvin Gardens,Property,2.600000,1.074968,1.000000,4.000000
A,100,30,Go to Jail,Go to Jail,0.000000,0.000000,0.000000,0.000000
A,100,31,Pacific Avenue,Property,2.100000,1.370320,0.000000,4.000000
A,100,32,North Carolina Avenue,Property,2.700000,0.674949,2.000000,4.000000
A,100,33,Community Chest 3,Community Chest,2.800000,1.032796,2.000000,5.000000
A,100,34,Pennsylvania Avenue,Property,2.200000,1.135292,0.000000,4.000000
A,100,35,Short Line,Railroad,2.800000,1.549193,1.000000,5.000000
A,100,36,Chance 3,Chance,0.600000,0.699206,0.000000,2.000000
A,100,37,Park Place,Property,1.700000,1.251666,0.000000,4.000000
A,100,38,Luxury Tax,Tax,2.000000,1.154701,0.000000,4.000000
A,100,39,Boardwalk,Property,2.500000,1.433721,0.000000,4.000000
A,1000,0,GO,GO,3.040000,0.568038,2.400000,3.900000
A,1000,1,Mediterranean Avenue,Property,2.210000,0.246982,1.800000,2.600000
A,1000,2,Community Chest 1,Community Chest,1.860000,0.320416,1.400000,2.400000
A,1000,3,Baltic Avenue,Property,2.250000,0.474342,1.500000,2.800000
A,1000,4,Income Tax,Tax,2.070000,0.485455,1.300000,3.000000
A,1000,5,Reading Railroad,Railroad,2.760000,0.408792,2.300000,3.400000
A,1000,6,Oriental Avenue,Property,2.470000,0.537587,1.400000,3.300000
A,1000,7,Chance 1,Chance,0.990000,0.213177,0.600000,1.200000
A,1000,8,Vermont Avenue,Property,2.340000,0.231900,2.000000,2.700000
A,1000,9,Connecticut Avenue,Property,2.390000,0.372529,1.900000,3.100000
A,1000,10,Jail / Just Visiting,Jail,7.080000,0.413118,6.500000,7.800000
A,1000,11,St. Charles Place,Property,2.490000,0.401248,1.900000,3.200000
A,1000,12,Electric Company,Utility,2.600000,0.434613,1.900000,3.300000
A,1000,13,States Avenue,Property,2.230000,0.408384,1.700000,3.100000
A,1000,14,Virginia Avenue,Property,2.410000,0.718718,1.600000,3.700000
A,1000,15,Pennsylvania Railroad,Railroad,2.940000,0.494862,2.400000,3.900000
A,1000,16,St. James Place,Property,2.980000,0.555378,2.000000,3.700000
A,1000,17,Community Chest 2,Community Chest,2.710000,0.538413,1.700000,3.600000
A,1000,18,Tennessee Avenue,Property,2.820000,0.434102,2.000000,3.200000
A,1000,19,New York Avenue,Property,3.190000,0.490918,2.500000,3.900000
A,1000,20,Free Parking,Free Parking,2.870000,0.386005,2.100000,3.400000
A,1000,21,Kentucky Avenue,Property,2.930000,0.444847,2.300000,3.900000
A,1000,22,Chance 2,Chance,1.020000,0.293636,0.500000,1.300000
A,1000,23,Indiana Avenue,Property,2.700000,0.674949,1.700000,3.900000
A,1000,24,Illinois Avenue,Property,3.190000,0.587745,2.000000,4.300000
A,1000,25,B. & O. Railroad,Railroad,2.900000,0.391578,2.100000,3.400000
A,1000,26,Atlantic Avenue,Property,2.960000,0.585377,2.200000,4.000000
A,1000,27,Ventnor Avenue,Property,2.490000,0.420185,1.700000,3.100000
A,1000,28,Water Works,Utility,3.030000,0.787471,1.500000,4.100000
A,1000,29,Marvin Gardens,Property,2.280000,0.532917,1.700000,3.000000
A,1000,30,Go to Jail,Go to Jail,0.000000,0.000000,0.000000,0.000000
A,1000,31,Pacific Avenue,Property,2.550000,0.422295,1.600000,3.200000
A,1000,32,North Carolina Avenue,Property,2.570000,0.527152,1.800000,3.200000
A,1000,33,Community Chest 3,Community Chest,2.490000,0.406749,1.800000,3.000000
A,1000,34,Pennsylvania Avenue,Property,2.350000,0.241523,2.100000,2.900000
A,1000,35,Short Line,Railroad,2.360000,0.271621,2.000000,2.800000
A,1000,36,Chance 3,Chance,0.760000,0.117379,0.600000,1.000000
A,1000,37,Park Place,Property,2.140000,0.447710,1.600000,2.900000
A,1000,38,Luxury Tax,Tax,2.280000,0.325918,1.600000,2.700000
A,1000,39,Boardwalk,Property,2.300000,0.374166,1.700000,2.800000
A,10000,0,GO,GO,3.067000,0.101877,2.910000,3.220000
A,10000,1,Mediterranean Avenue,Property,2.039000,0.159892,1.740000,2.300000
A,10000,2,Community Chest 1,Community Chest,1.969000,0.151910,1.710000,2.210000
A,10000,3,Baltic Avenue,Property,2.139000,0.111997,1.970000,2.340000
A,10000,4,Income Tax,Tax,2.256000,0.060955,2.150000,2.330000
A,10000,5,Reading Railroad,Railroad,2.915000,0.157074,2.680000,3.110000
A,10000,6,Oriental Avenue,Property,2.260000,0.058878,2.180000,2.360000
A,10000,7,Chance 1,Chance,0.896000,0.091311,0.680000,1.010000
A,10000,8,Vermont Avenue,Property,2.314000,0.176459,2.030000,2.590000
A,10000,9,Connecticut Avenue,Property,2.318000,0.109016,2.180000,2.460000
A,10000,10,Jail / Just Visiting,Jail,6.833000,0.252501,6.390000,7.170000
A,10000,11,St. Charles Place,Property,2.739000,0.129825,2.590000,2.940000
A,10000,12,Electric Company,Utility,2.577000,0.147275,2.370000,2.810000
A,10000,13,States Avenue,Property,2.360000,0.148773,2.100000,2.680000
A,10000,14,Virginia Avenue,Property,2.418000,0.160402,2.140000,2.620000
A,10000,15,Pennsylvania Railroad,Railroad,2.916000,0.198506,2.690000,3.320000
A,10000,16,St. James Place,Property,2.792000,0.194867,2.550000,3.180000
A,10000,17,Community Chest 2,Community Chest,2.715000,0.132351,2.530000,2.910000
A,10000,18,Tennessee Avenue,Property,2.900000,0.119815,2.750000,3.180000
A,10000,19,New York Avenue,Property,3.203000,0.160281,2.890000,3.420000
A,10000,20,Free Parking,Free Parking,2.866000,0.113940,2.670000,3.010000
A,10000,21,Kentucky Avenue,Property,2.890000,0.107290,2.730000,3.040000
A,10000,22,Chance 2,Chance,1.090000,0.064118,0.970000,1.200000
A,10000,23,Indiana Avenue,Property,2.600000,0.179629,2.210000,2.870000
A,10000,24,Illinois Avenue,Property,3.244000,0.130826,2.960000,3.400000
A,10000,25,B. & O. Railroad,Railroad,2.984000,0.167677,2.740000,3.210000
A,10000,26,Atlantic Avenue,Property,2.639000,0.212522,2.260000,2.880000
A,10000,27,Ventnor Avenue,Property,2.532000,0.104329,2.400000,2.740000
A,10000,28,Water Works,Utility,2.888000,0.160264,2.610000,3.120000
A,10000,29,Marvin Gardens,Property,2.545000,0.097781,2.430000,2.740000
A,10000,30,Go to Jail,Go to Jail,0.000000,0.000000,0.000000,0.000000
A,10000,31,Pacific Avenue,Property,2.570000,0.154344,2.270000,2.780000
A,10000,32,North Carolina Avenue,Property,2.689000,0.165156,2.390000,2.890000
A,10000,33,Community Chest 3,Community Chest,2.295000,0.121587,2.080000,2.440000
A,10000,34,Pennsylvania Avenue,Property,2.487000,0.153988,2.230000,2.670000
A,10000,35,Short Line,Railroad,2.385000,0.132853,2.260000,2.660000
A,10000,36,Chance 3,Chance,0.801000,0.069354,0.700000,0.900000
A,10000,37,Park Place,Property,2.125000,0.131085,1.930000,2.370000
A,10000,38,Luxury Tax,Tax,2.259000,0.173426,2.010000,2.560000
A,10000,39,Boardwalk,Property,2.485000,0.112867,2.320000,2.690000
A,100000,0,GO,GO,3.108200,0.036374,3.050000,3.161000
A,100000,1,Mediterranean Avenue,Property,2.042100,0.034148,2.002000,2.102000
A,100000,2,Community Chest 1,Community Chest,1.872000,0.033109,1.807000,1.915000
A,100000,3,Baltic Avenue,Property,2.097800,0.051413,1.998000,2.166000
A,100000,4,Income Tax,Tax,2.314400,0.039311,2.236000,2.372000
A,100000,5,Reading Railroad,Railroad,2.930900,0.036892,2.880000,2.997000
A,100000,6,Oriental Avenue,Property,2.227900,0.046936,2.171000,2.319000
A,100000,7,Chance 1,Chance,0.812300,0.023547,0.771000,0.838000
A,100000,8,Vermont Avenue,Property,2.327000,0.042426,2.267000,2.390000
A,100000,9,Connecticut Avenue,Property,2.315300,0.040678,2.256000,2.380000
A,100000,10,Jail / Just Visiting,Jail,6.877800,0.069877,6.722000,6.945000
A,100000,11,St. Charles Place,Property,2.709800,0.049495,2.621000,2.806000
A,100000,12,Electric Company,Utility,2.573000,0.040423,2.522000,2.639000
A,100000,13,States Avenue,Property,2.370900,0.021850,2.335000,2.406000
A,100000,14,Virginia Avenue,Property,2.443400,0.036561,2.395000,2.503000
A,100000,15,Pennsylvania Railroad,Railroad,2.939500,0.069329,2.869000,3.094000
A,100000,16,St. James Place,Property,2.818200,0.068632,2.725000,2.931000
A,100000,17,Community Chest 2,Community Chest,2.665900,0.042091,2.590000,2.752000
A,100000,18,Tennessee Avenue,Property,2.985300,0.037328,2.943000,3.032000
A,100000,19,New York Avenue,Property,3.200600,0.054349,3.110000,3.293000
A,100000,20,Free Parking,Free Parking,2.910200,0.041354,2.821000,2.963000
A,100000,21,Kentucky Avenue,Property,2.818700,0.048229,2.725000,2.863000
A,100000,22,Chance 2,Chance,1.026900,0.020556,1.002000,1.066000
A,100000,23,Indiana Avenue,Property,2.689400,0.051223,2.613000,2.787000
A,100000,24,Illinois Avenue,Property,3.215800,0.032027,3.181000,3.287000
A,100000,25,B. & O. Railroad,Railroad,2.996700,0.037172,2.937000,3.052000
A,100000,26,Atlantic Avenue,Property,2.713700,0.059185,2.645000,2.832000
A,100000,27,Ventnor Avenue,Property,2.579500,0.048454,2.501000,2.671000
A,100000,28,Water Works,Utility,2.783900,0.050194,2.706000,2.870000
A,100000,29,Marvin Gardens,Property,2.515300,0.056384,2.421000,2.582000
A,100000,30,Go to Jail,Go to Jail,0.000000,0.000000,0.000000,0.000000
A,100000,31,Pacific Avenue,Property,2.605000,0.023147,2.561000,2.638000
A,100000,32,North Carolina Avenue,Property,2.679600,0.046724,2.585000,2.734000
A,100000,33,Community Chest 3,Community Chest,2.316300,0.031496,2.285000,2.393000
A,100000,34,Pennsylvania Avenue,Property,2.507900,0.046820,2.428000,2.563000
A,100000,35,Short Line,Railroad,2.357800,0.044329,2.300000,2.423000
A,100000,36,Chance 3,Chance,0.856800,0.020682,0.836000,0.908000
A,100000,37,Park Place,Property,2.058400,0.024409,2.012000,2.096000
A,100000,38,Luxury Tax,Tax,2.206600,0.039294,2.152000,2.254000
A,100000,39,Boardwalk,Property,2.529200,0.048055,2.423000,2.592000
B,100,0,GO,GO,3.400000,1.577621,1.000000,5.000000
B,100,1,Mediterranean Avenue,Property,1.800000,1.549193,0.000000,5.000000
B,100,2,Community Chest 1,Community Chest,2.100000,1.791957,0.000000,5.000000
B,100,3,Baltic Avenue,Property,2.200000,1.032796,1.000000,4.000000
B,100,4,Income Tax,Tax,1.200000,0.788811,0.000000,2.000000
B,100,5,Reading Railroad,Railroad,3.100000,1.286684,1.000000,5.000000
B,100,6,Oriental Avenue,Property,2.200000,1.135292,0.000000,4.000000
B,100,7,Chance 1,Chance,0.700000,0.823273,0.000000,2.000000
B,100,8,Vermont Avenue,Property,2.700000,1.702939,0.000000,6.000000
B,100,9,Connecticut Avenue,Property,2.600000,1.264911,1.000000,5.000000
B,100,10,Jail / Just Visiting,Jail,12.900000,5.425250,4.000000,20.000000
B,100,11,St. Charles Place,Property,2.600000,1.776388,0.000000,5.000000
B,100,12,Electric Company,Utility,2.300000,0.948683,1.000000,4.000000
B,100,13,States Avenue,Property,2.900000,1.197219,1.000000,5.000000
B,100,14,Virginia Avenue,Property,2.300000,1.251666,0.000000,4.000000
B,100,15,Pennsylvania Railroad,Railroad,2.400000,1.074968,1.000000,4.000000
B,100,16,St. James Place,Property,2.900000,1.852926,0.000000,6.000000
B,100,17,Community Chest 2,Community Chest,1.500000,1.581139,0.000000,5.000000
B,100,18,Tennessee Avenue,Property,2.700000,1.702939,0.000000,5.000000
B,100,19,New York Avenue,Property,2.900000,1.595131,0.000000,6.000000
B,100,20,Free Parking,Free Parking,3.000000,2.054805,1.000000,6.000000
B,100,21,Kentucky Avenue,Property,2.800000,1.229273,1.000000,5.000000
B,100,22,Chance 2,Chance,0.500000,0.527046,0.000000,1.000000
B,100,23,Indiana Avenue,Property,2.700000,1.702939,0.000000,6.000000
