strategy,run,turns,seed,index,square,type,count,percentage
A,5,1000000,10002435,0,GO,GO,31285,3.128500
A,5,1000000,10002435,1,Mediterranean Avenue,Property,20245,2.024500
A,5,1000000,10002435,2,Community Chest 1,Community Chest,18924,1.892400
A,5,1000000,10002435,3,Baltic Avenue,Property,21172,2.117200
A,5,1000000,10002435,4,Income Tax,Tax,22800,2.280000
A,5,1000000,10002435,5,Reading Railroad,Railroad,28985,2.898500
A,5,1000000,10002435,6,Oriental Avenue,Property,22516,2.251600
A,5,1000000,10002435,7,Chance 1,Chance,8354,0.835400
A,5,1000000,10002435,8,Vermont Avenue,Property,23347,2.334700
A,5,1000000,10002435,9,Connecticut Avenue,Property,22740,2.274000
A,5,1000000,10002435,10,Jail / Just Visiting,Jail,68858,6.885800
A,5,1000000,10002435,11,St. Charles Place,Property,26894,2.689400
A,5,1000000,10002435,12,Electric Company,Utility,25812,2.581200
A,5,1000000,10002435,13,States Avenue,Property,23764,2.376400
A,5,1000000,10002435,14,Virginia Avenue,Property,24617,2.461700
A,5,1000000,10002435,15,Pennsylvania Railroad,Railroad,29394,2.939400
A,5,1000000,10002435,16,St. James Place,Property,28417,2.841700
A,5,1000000,10002435,17,Community Chest 2,Community Chest,26775,2.677500
A,5,1000000,10002435,18,Tennessee Avenue,Property,30099,3.009900
A,5,1000000,10002435,19,New York Avenue,Property,31463,3.146300
A,5,1000000,10002435,20,Free Parking,Free Parking,28962,2.896200
A,5,1000000,10002435,21,Kentucky Avenue,Property,28193,2.819300
A,5,1000000,10002435,22,Chance 2,Chance,10290,1.029000
A,5,1000000,10002435,23,Indiana Avenue,Property,26862,2.686200
A,5,1000000,10002435,24,Illinois Avenue,Property,32098,3.209800
A,5,1000000,10002435,25,B. & O. Railroad,Railroad,30070,3.007000
A,5,1000000,10002435,26,Atlantic Avenue,Property,26966,2.696600
A,5,1000000,10002435,27,Ventnor Avenue,Property,25994,2.599400
A,5,1000000,10002435,28,Water Works,Utility,27714,2.771400
A,5,1000000,10002435,29,Marvin Gardens,Property,25097,2.509700
A,5,1000000,10002435,30,Go to Jail,Go to Jail,0,0.000000
A,5,1000000,10002435,31,Pacific Avenue,Property,25964,2.596400
A,5,1000000,10002435,32,North Carolina Avenue,Property,27072,2.707200
A,5,1000000,10002435,33,Community Chest 3,Community Chest,22847,2.284700
A,5,1000000,10002435,34,Pennsylvania Avenue,Property,25530,2.553000
A,5,1000000,10002435,35,Short Line,Railroad,23446,2.344600
A,5,1000000,10002435,36,Chance 3,Chance,8393,0.839300
A,5,1000000,10002435,37,Park Place,Property,20512,2.051200
A,5,1000000,10002435,38,Luxury Tax,Tax,22203,2.220300
A,5,1000000,10002435,39,Boardwalk,Property,25326,2.532600
