strategy,run,turns,seed,index,square,type,count,percentage
B,8,1000000,20002438,0,GO,GO,29258,2.925800
B,8,1000000,20002438,1,Mediterranean Avenue,Property,18952,1.895200
B,8,1000000,20002438,2,Community Chest 1,Community Chest,17576,1.757600
B,8,1000000,20002438,3,Baltic Avenue,Property,19407,1.940700
B,8,1000000,20002438,4,Income Tax,Tax,21179,2.117900
B,8,1000000,20002438,5,Reading Railroad,Railroad,27126,2.712600
B,8,1000000,20002438,6,Oriental Avenue,Property,20881,2.088100
B,8,1000000,20002438,7,Chance 1,Chance,7673,0.767300
B,8,1000000,20002438,8,Vermont Avenue,Property,21630,2.163000
B,8,1000000,20002438,9,Connecticut Avenue,Property,21259,2.125900
B,8,1000000,20002438,10,Jail / Just Visiting,Jail,135435,13.543500
B,8,1000000,20002438,11,St. Charles Place,Property,25193,2.519300
B,8,1000000,20002438,12,Electric Company,Utility,25752,2.575200
B,8,1000000,20002438,13,States Avenue,Property,21084,2.108400
B,8,1000000,20002438,14,Virginia Avenue,Property,24098,2.409800
B,8,1000000,20002438,15,Pennsylvania Railroad,Railroad,26025,2.602500
B,8,1000000,20002438,16,St. James Place,Property,26522,2.652200
B,8,1000000,20002438,17,Community Chest 2,Community Chest,23046,2.304600
B,8,1000000,20002438,18,Tennessee Avenue,Property,28214,2.821400
B,8,1000000,20002438,19,New York Avenue,Property,28216,2.821600
B,8,1000000,20002438,20,Free Parking,Free Parking,28304,2.830400
B,8,1000000,20002438,21,Kentucky Avenue,Property,25693,2.569300
B,8,1000000,20002438,22,Chance 2,Chance,10290,1.029000
B,8,1000000,20002438,23,Indiana Avenue,Property,24764,2.476400
B,8,1000000,20002438,24,Illinois Avenue,Property,29386,2.938600
B,8,1000000,20002438,25,B. & O. Railroad,Railroad,28154,2.815400
B,8,1000000,20002438,26,Atlantic Avenue,Property,24756,2.475600
B,8,1000000,20002438,27,Ventnor Avenue,Property,24559,2.455900
B,8,1000000,20002438,28,Water Works,Utility,25571,2.557100
B,8,1000000,20002438,29,Marvin Gardens,Property,23184,2.318400
B,8,1000000,20002438,30,Go to Jail,Go to Jail,0,0.000000
B,8,1000000,20002438,31,Pacific Avenue,Property,24127,2.412700
B,8,1000000,20002438,32,North Carolina Avenue,Property,24831,2.483100
B,8,1000000,20002438,33,Community Chest 3,Community Chest,21300,2.130000
B,8,1000000,20002438,34,Pennsylvania Avenue,Property,23702,2.370200
B,8,1000000,20002438,35,Short Line,Railroad,21988,2.198800
B,8,1000000,20002438,36,Chance 3,Chance,7770,0.777000
B,8,1000000,20002438,37,Park Place,Property,19144,1.914400
B,8,1000000,20002438,38,Luxury Tax,Tax,20353,2.035300
B,8,1000000,20002438,39,Boardwalk,Property,23598,2.359800
